"year","flag_tsunami","flag_earthquake","volcano_name","country","elevation","volcano_type","volcanic_explosivity_index","volcano_deaths","volcano_deaths_description","volcano_injuries","volcano_injuries_description","volcano_damage_in_m","volcano_damage_description","volcano_houses_destroyed","volcano_houses_destroyed_description","lat","long"
1590,FALSE,FALSE,"Colima","Mexico",3850,"Stratovolcano",3,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",19.514,-103.62
1596,FALSE,FALSE,"Asama","Japan",2560,"Complex volcano",2,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.4,138.53
1606,TRUE,FALSE,"Hachijo-jima","Japan",854,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",33.13,139.77
1712,FALSE,FALSE,"Bardarbunga","Iceland",2000,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",64.63,-17.53
1716,FALSE,FALSE,"Bardarbunga","Iceland",2000,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",64.63,-17.53
1737,FALSE,FALSE,"Vesuvius","Italy",1281,"Complex volcano",2,2,"Few (~1 to 50)",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"None/No Record",40.821,14.426
1779,FALSE,FALSE,"Sakura-jima","Japan",1117,"Stratovolcano",4,153,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",31.58,130.67
1783,FALSE,FALSE,"Asama","Japan",2560,"Complex volcano",4,1491,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.4,138.53
1822,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",3,100,"Some (~51 to 100)",NA,"Some (~51 to 100)",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",-7.542,110.442
1840,FALSE,FALSE,"Tinakula","Solomon Is.",851,"Stratovolcano",3,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-10.38,165.8
1845,TRUE,TRUE,"Soputan","Indonesia",1784,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",1.108,124.725
1847,FALSE,FALSE,"Fogo","Cape Verde",2829,"Stratovolcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",14.95,-24.35
1856,TRUE,TRUE,"Awu","Indonesia",1320,"Stratovolcano",3,2806,"Very Many (~1001 or more)",NA,"Some (~51 to 100)",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",3.67,125.5
1861,FALSE,FALSE,"Makian","Indonesia",1357,"Stratovolcano",4,326,"Many (~101 to 1000)",47,"Few (~1 to 50)",NA,"None/No Record",NA,"Many (~101 to 1000)",0.32,127.4
1903,FALSE,FALSE,"Okataina","New Zealand",1111,"Lava dome",1,4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-38.12,176.5
1951,FALSE,FALSE,"Hakone","Japan",1438,"Complex volcano",NA,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",35.22,139.02
1954,FALSE,FALSE,"Bam","Papua New Guinea",685,"Stratovolcano",2,NA,"None/No Record",NA,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",-3.6,144.85
1958,FALSE,FALSE,"Daisetsu","Japan",2290,"Stratovolcano",NA,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",43.68,142.88
1962,FALSE,FALSE,"Gamalama","Indonesia",1715,"Stratovolcano",2,5,"Few (~1 to 50)",5,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",0.8,127.325
1969,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",2,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.542,110.442
1973,FALSE,FALSE,"Paluweh","Indonesia",875,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"Few (~1 to 50)",-8.32,121.708
1974,FALSE,FALSE,"Sakura-jima","Japan",1117,"Stratovolcano",3,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",31.58,130.67
1978,FALSE,FALSE,"Tangkubanparahu","Indonesia",2084,"Stratovolcano",NA,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-6.77,107.6
1983,FALSE,FALSE,"Colo [Una Una]","Indonesia",507,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"Many (~101 to 1000)",-0.17,121.608
1987,FALSE,FALSE,"Etna","Italy",3350,"Stratovolcano",2,2,"Few (~1 to 50)",7,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",37.734,15.004
1994,FALSE,FALSE,"Rinjani","Indonesia",3726,"Stratovolcano",3,31,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.42,116.47
1996,FALSE,FALSE,"Grimsvotn","Iceland",1725,"Caldera",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",64.42,-17.33
1997,FALSE,FALSE,"Soufriere Hills","Montserrat",915,"Stratovolcano",3,22,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",16.72,-62.18
1999,FALSE,FALSE,"Guagua Pichincha","Ecuador",4784,"Stratovolcano",3,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-0.171,-78.598
2001,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",2,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.542,110.442
2002,FALSE,FALSE,"Nyiragongo","Congo, DRC",3470,"Stratovolcano",1,100,"Some (~51 to 100)",400,"Many (~101 to 1000)",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",-1.52,29.25
2011,FALSE,FALSE,"Karangetang [Api Siau]","Indonesia",1784,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",2.78,125.48
2012,FALSE,FALSE,"Kilauea","United States",1222,"Shield volcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"None/No Record",19.425,-155.292
2012,FALSE,FALSE,"Kilauea","United States",1222,"Shield volcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",1,"Few (~1 to 50)",19.425,-155.292
-4050,FALSE,FALSE,"Masaya","Nicaragua",635,"Caldera",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",11.984,-86.161
