"year","flag_tsunami","flag_earthquake","volcano_name","country","elevation","volcano_type","volcanic_explosivity_index","volcano_deaths","volcano_deaths_description","volcano_injuries","volcano_injuries_description","volcano_damage_in_m","volcano_damage_description","volcano_houses_destroyed","volcano_houses_destroyed_description","lat","long"
1800,FALSE,FALSE,"Kieyo","Tanzania",2175,"Stratovolcano",2,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"None/No Record",-9.23,33.78
1803,FALSE,FALSE,"Asama","Japan",2560,"Complex volcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.4,138.53
1894,FALSE,FALSE,"Ambrym","Vanuatu",1334,"Pyroclastic shield",3,10,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-16.25,168.12
1910,FALSE,FALSE,"Usu","Japan",731,"Stratovolcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",42.53,140.83
1911,FALSE,FALSE,"Asama","Japan",2560,"Complex volcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",60,"Some (~51 to 100)",36.4,138.53
1917,FALSE,TRUE,"San Salvador","El Salvador",1893,"Stratovolcano",3,325,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.736,-89.286
1923,FALSE,FALSE,"Tangkubanparahu","Indonesia",2084,"Stratovolcano",NA,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-6.77,107.6
1923,FALSE,FALSE,"Kirishima","Japan",1700,"Shield volcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",31.93,130.87
1929,FALSE,FALSE,"Komaga-take","Japan",1140,"Stratovolcano",4,2,"Few (~1 to 50)",4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",42.07,140.68
1929,FALSE,FALSE,"Santa Maria","Guatemala",3772,"Stratovolcano",3,200,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",14.756,-91.552
1939,TRUE,FALSE,"Kick-'em-Jenny","Netherlands",-177,"Submarine volcano",1,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",12.3,-61.63
1951,FALSE,FALSE,"Kelut","Indonesia",1731,"Stratovolcano",3,7,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.93,112.308
1966,FALSE,FALSE,"Awu","Indonesia",1320,"Stratovolcano",4,39,"Few (~1 to 50)",1000,"Many (~101 to 1000)",NA,"None/No Record",NA,"Some (~51 to 100)",3.67,125.5
1971,FALSE,FALSE,"Villarrica","Chile",2847,"Stratovolcano",2,15,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-39.42,-71.93
1974,FALSE,FALSE,"Niigata-Yake-yama","Japan",2400,"Lava dome",2,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.92,138.03
1977,FALSE,FALSE,"Karthala","Comoros",2361,"Shield volcano",0,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-11.75,43.38
1978,FALSE,FALSE,"Bulusan","Philippines",1565,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",12.77,124.05
1982,FALSE,FALSE,"Chichon, El","Mexico",1150,"Tuff cone",5,33,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",17.36,-93.228
1986,FALSE,FALSE,"Akita-Yake-yama","Japan",1366,"Complex volcano",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",39.97,140.77
2001,FALSE,FALSE,"Etna","Italy",3350,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"Few (~1 to 50)",37.734,15.004
2018,FALSE,FALSE,"Kilauea","United States",1222,"Shield volcano",1,1,"Few (~1 to 50)",3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",19.425,-155.292
-1645,FALSE,FALSE,"Aniakchak","United States",1341,"Caldera",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",56.88,-158.17
1636,FALSE,FALSE,"Hekla","Iceland",1491,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.98,-19.7
1669,FALSE,FALSE,"Etna","Italy",3350,"Stratovolcano",3,2,"Few (~1 to 50)",5,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",37.734,15.004
1698,TRUE,FALSE,"Vesuvius","Italy",1281,"Complex volcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",40.821,14.426
1706,TRUE,FALSE,"Tenerife","Spain",3715,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"None/No Record",28.271,-16.641
1707,FALSE,TRUE,"Fuji","Japan",3776,"Stratovolcano",4,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",75,"Few (~1 to 50)",35.35,138.73
1826,FALSE,FALSE,"Dieng Volc Complex","Indonesia",2565,"Complex volcano",2,NA,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.2,109.92
1832,FALSE,FALSE,"Etna","Italy",3350,"Stratovolcano",2,NA,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.734,15.004
1835,FALSE,FALSE,"Cosiguina","Nicaragua",872,"Stratovolcano",5,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",12.98,-87.57
1860,FALSE,FALSE,"Grimsvotn","Iceland",1725,"Caldera",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",64.42,-17.33
1871,FALSE,FALSE,"Gamalama","Indonesia",1715,"Stratovolcano",2,1,"Few (~1 to 50)",1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",0.8,127.325
1872,FALSE,FALSE,"Sinarka","Russia",934,"Stratovolcano",4,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",48.875,154.175
1899,FALSE,FALSE,"Dona Juana","Colombia",4150,"Stratovolcano",4,55,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",1.47,-76.92
1905,FALSE,FALSE,"Vesuvius","Italy",1281,"Complex volcano",2,1,"Few (~1 to 50)",1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",40.821,14.426
1924,FALSE,FALSE,"Kilauea","United States",1222,"Shield volcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",19.425,-155.292
1931,FALSE,FALSE,"Asama","Japan",2560,"Complex volcano",3,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.4,138.53
1947,FALSE,FALSE,"Mayon","Philippines",2462,"Stratovolcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.257,123.685
1957,FALSE,TRUE,"Vsevidof","United States",2149,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",53.13,-168.68
1963,FALSE,FALSE,"Batur","Indonesia",1717,"Caldera",2,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"Few (~1 to 50)",-8.242,115.375
1967,FALSE,FALSE,"Lengai, Ol Doinyo","Tanzania",2890,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-2.751,35.902
1969,FALSE,FALSE,"Iya","Indonesia",637,"Stratovolcano",3,2,"Few (~1 to 50)",10,"Few (~1 to 50)",NA,"None/No Record",287,"Many (~101 to 1000)",-8.88,121.63
1988,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",3,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.108,112.92
1990,FALSE,FALSE,"Aso","Japan",1592,"Caldera",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.88,131.1
1994,FALSE,TRUE,"Huila","Colombia",5365,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",2.92,-76.05
1999,FALSE,FALSE,"Shiveluch","Russia",3283,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",56.653,161.36
1999,FALSE,FALSE,"Tungurahua","Ecuador",5023,"Stratovolcano",3,1,"Few (~1 to 50)",4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-1.467,-78.442
2019,FALSE,FALSE,"White Island","New Zealand",321,"Stratovolcano",2,21,"Few (~1 to 50)",24,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-37.52,177.18
1593,FALSE,FALSE,"Raung","Indonesia",3332,"Stratovolcano",5,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.125,114.042
1609,FALSE,FALSE,"Tengchong","China",2865,"Pyroclastic cone",NA,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",25.32,98.47
1692,FALSE,FALSE,"Serua","Pacific Ocean",641,"Stratovolcano",4,NA,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-6.3,130
1718,FALSE,FALSE,"Pico","Portugal",2351,"Stratovolcano",2,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",38.47,-28.4
1846,FALSE,FALSE,"Taupo","New Zealand",760,"Caldera",NA,63,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-38.82,176
1866,FALSE,FALSE,"Santorini","Greece",329,"Shield volcano",2,1,"Few (~1 to 50)",NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",36.404,25.396
1877,TRUE,TRUE,"Mauna Loa","United States",4170,"Shield volcano",0,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",19.475,-155.608
1883,FALSE,FALSE,"Bagana","Papua New Guinea",1750,"Lava cone",3,NA,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-6.14,155.195
1886,FALSE,FALSE,"Niuafo'ou","Tonga",260,"Shield volcano",4,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-15.6,-175.63
1896,FALSE,FALSE,"Kirishima","Japan",1700,"Shield volcano",2,1,"Few (~1 to 50)",1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",31.93,130.87
1902,TRUE,FALSE,"Pelee","Martinique",1397,"Stratovolcano",4,28000,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",14.82,-61.17
1914,FALSE,FALSE,"Aoba","Vanuatu",1496,"Shield volcano",NA,100,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-15.4,167.83
1923,FALSE,FALSE,"Papandayan","Indonesia",2665,"Stratovolcano",1,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.32,107.73
1928,FALSE,FALSE,"Santorini","Greece",329,"Shield volcano",2,48,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.404,25.396
1947,FALSE,FALSE,"Akagi","Japan",1828,"Stratovolcano",NA,699,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.53,139.18
1963,TRUE,FALSE,"Agung","Indonesia",3142,"Stratovolcano",5,1028,"Very Many (~1001 or more)",624,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",-8.342,115.508
1963,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.108,112.92
1965,TRUE,FALSE,"Taal","Philippines",400,"Stratovolcano",4,355,"Many (~101 to 1000)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"Few (~1 to 50)",14.002,120.993
1973,FALSE,FALSE,"Vestmannaeyjar","Iceland",279,"Submarine volcano",3,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",63.43,-20.28
1974,FALSE,FALSE,"Karangetang [Api Siau]","Indonesia",1784,"Stratovolcano",3,4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",2.78,125.48
1975,TRUE,TRUE,"Kilauea","United States",1222,"Shield volcano",0,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",19.425,-155.292
1982,FALSE,FALSE,"Chichon, El","Mexico",1150,"Tuff cone",5,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",17.36,-93.228
1986,FALSE,FALSE,"Oku Volc Field","Cameroon",3011,"Maar",3,1700,"Very Many (~1001 or more)",300,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",6.25,10.5
1992,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",3,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.108,112.92
1994,FALSE,FALSE,"Yasur","Vanuatu",361,"Stratovolcano",3,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-19.52,169.425
1998,FALSE,FALSE,"San Cristobal","Nicaragua",1745,"Stratovolcano",NA,1620,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",12.702,-87.004
2004,FALSE,FALSE,"Tengger Caldera","Indonesia",2329,"Stratovolcano",2,2,"Few (~1 to 50)",5,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-7.942,112.95
2007,FALSE,FALSE,"Huila","Colombia",5365,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"Few (~1 to 50)",2.92,-76.05
2008,FALSE,FALSE,"Chaiten","Chile",962,"Caldera",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-42.833,-72.646
2008,TRUE,FALSE,"Kasatochi","United States",314,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",52.18,-175.5
2017,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",NA,8,"Few (~1 to 50)",8,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-7.542,110.442
-1610,TRUE,TRUE,"Santorini","Greece",329,"Shield volcano",7,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"None/No Record",36.404,25.396
-150,FALSE,FALSE,"St. Andrew Strait","Papua New Guinea",270,"Complex volcano",NA,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-2.38,147.35
-100,FALSE,FALSE,"Okmok","United States",1073,"Shield volcano",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",53.42,-168.13
1341,FALSE,FALSE,"Hekla","Iceland",1491,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.98,-19.7
1430,FALSE,FALSE,"Kuwae","Vanuatu",-2,"Caldera",NA,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-16.829,168.536
1510,FALSE,FALSE,"Hekla","Iceland",1491,"Stratovolcano",4,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",63.98,-19.7
1580,FALSE,FALSE,"Billy Mitchell","Papua New Guinea",1544,"Pyroclastic shield",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-6.092,155.225
1698,FALSE,FALSE,"Cereme","Indonesia",3078,"Stratovolcano",3,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-6.892,108.4
1716,TRUE,TRUE,"Taal","Philippines",400,"Stratovolcano",4,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",14.002,120.993
1717,FALSE,FALSE,"Fuego","Guatemala",3763,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",14.473,-90.88
1721,FALSE,FALSE,"Katla","Iceland",1512,"Subglacial volcano",5,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",63.63,-19.05
1819,TRUE,FALSE,"Asuncion","United States",857,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",19.67,145.4
1845,FALSE,FALSE,"Ruiz","Colombia",5321,"Stratovolcano",3,1000,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",4.895,-75.322
1895,FALSE,FALSE,"Kirishima","Japan",1700,"Shield volcano",2,4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",31.93,130.87
1901,TRUE,TRUE,"Epi","Vanuatu",833,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-16.68,168.37
1907,TRUE,TRUE,"Unnamed","Tonga",-500,"Submarine volcano",0,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-21.38,-175.65
1928,TRUE,FALSE,"Krakatau","Indonesia",813,"Caldera",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-6.102,105.423
1940,FALSE,FALSE,"Lengai, Ol Doinyo","Tanzania",2890,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-2.751,35.902
1946,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",2,6,"Few (~1 to 50)",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",81,"Some (~51 to 100)",-8.108,112.92
1953,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",3,64,"Some (~51 to 100)",57,"Some (~51 to 100)",NA,"MODERATE (~$1 to $5 million)",144,"Many (~101 to 1000)",-7.542,110.442
1954,FALSE,FALSE,"Tate-yama","Japan",2621,"Stratovolcano",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.57,137.6
1961,FALSE,FALSE,"Asama","Japan",2560,"Complex volcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.4,138.53
1962,FALSE,FALSE,"Tokachi","Japan",2077,"Stratovolcano",3,5,"Few (~1 to 50)",11,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",43.42,142.68
1963,FALSE,TRUE,"Agung","Indonesia",3142,"Stratovolcano",3,120,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.342,115.508
1969,TRUE,FALSE,"Didicas","Philippines",244,"Compound volcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",19.077,122.202
1997,FALSE,FALSE,"Karangetang [Api Siau]","Indonesia",1784,"Stratovolcano",1,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",2.78,125.48
2000,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",3,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.108,112.92
2009,FALSE,FALSE,"Kilauea","United States",1222,"Shield volcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"None/No Record",19.425,-155.292
2011,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",NA,1,"Few (~1 to 50)",1,"Few (~1 to 50)",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-7.542,110.442
-1890,FALSE,FALSE,"Hudson, Cerro","Chile",1905,"Stratovolcano",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-45.9,-72.97
-455,FALSE,FALSE,"Cotopaxi","Ecuador",5911,"Stratovolcano",4,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-0.677,-78.436
240,FALSE,FALSE,"Ksudach","Russia",1079,"Stratovolcano",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",51.8,157.53
1362,FALSE,FALSE,"Oraefajokull","Iceland",2119,"Stratovolcano",5,220,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",64,-16.65
1385,FALSE,FALSE,"Kelut","Indonesia",1731,"Stratovolcano",3,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.93,112.308
1630,FALSE,FALSE,"Furnas","Portugal",805,"Stratovolcano",4,200,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.77,-25.32
1669,FALSE,TRUE,"Etna","Italy",3350,"Stratovolcano",3,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.734,15.004
1670,FALSE,FALSE,"Aoba","Vanuatu",1496,"Shield volcano",2,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-15.4,167.83
1690,FALSE,FALSE,"Guntur","Indonesia",2249,"Complex volcano",3,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.13,107.83
1766,FALSE,FALSE,"Mayon","Philippines",2462,"Stratovolcano",3,49,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.257,123.685
1780,FALSE,FALSE,"Aoga-shima","Japan",423,"Stratovolcano",3,7,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"Few (~1 to 50)",32.45,139.77
1784,FALSE,FALSE,"Grimsvotn","Iceland",1725,"Caldera",4,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",64.42,-17.33
1890,FALSE,FALSE,"Victory","Papua New Guinea",1925,"Stratovolcano",2,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-9.2,149.07
1913,FALSE,FALSE,"Asama","Japan",2560,"Complex volcano",1,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.4,138.53
1926,FALSE,FALSE,"Tokachi","Japan",2077,"Stratovolcano",3,144,"Many (~101 to 1000)",207,"Many (~101 to 1000)",NA,"None/No Record",5080,"Very Many (~1001 or more)",43.42,142.68
1932,FALSE,FALSE,"Fuego","Guatemala",3763,"Stratovolcano",4,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",14.473,-90.88
1964,FALSE,FALSE,"Villarrica","Chile",2847,"Stratovolcano",2,25,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-39.42,-71.93
1967,TRUE,FALSE,"Deception Island","Antarctica",576,"Caldera",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-62.97,-60.65
1974,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",2,9,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",6,"Few (~1 to 50)",-7.542,110.442
1977,FALSE,FALSE,"Nyiragongo","Congo, DRC",3470,"Stratovolcano",1,NA,"Some (~51 to 100)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"None/No Record",-1.52,29.25
1988,FALSE,FALSE,"Lonquimay","Chile",2865,"Stratovolcano",3,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-38.377,-71.58
1991,FALSE,FALSE,"Unzen","Japan",1500,"Complex volcano",1,43,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.75,130.3
1993,FALSE,FALSE,"Guagua Pichincha","Ecuador",4784,"Stratovolcano",1,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-0.171,-78.598
2008,FALSE,FALSE,"Tungurahua","Ecuador",5023,"Stratovolcano",3,2,"Few (~1 to 50)",2,"Few (~1 to 50)",NA,"LIMITED (~<$1 million)",2,"Few (~1 to 50)",-1.467,-78.442
2011,FALSE,FALSE,"Nabro","Eritrea",2218,"Stratovolcano",3,31,"Few (~1 to 50)",NA,"Many (~101 to 1000)",NA,"LIMITED (~<$1 million)",NA,"None/No Record",13.37,41.7
2013,FALSE,FALSE,"Ubinas","Peru",5672,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-16.355,-70.903
2014,FALSE,FALSE,"Sinabung","Indonesia",2460,"Stratovolcano",NA,17,"Few (~1 to 50)",3,"Few (~1 to 50)",NA,"LIMITED (~<$1 million)",NA,"Some (~51 to 100)",3.17,98.392
2015,FALSE,FALSE,"Sinabung","Indonesia",2460,"Stratovolcano",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",3.17,98.392
-1900,FALSE,FALSE,"Black Peak","United States",1032,"Stratovolcano",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",56.53,-158.8
1477,FALSE,FALSE,"Bardarbunga","Iceland",2000,"Stratovolcano",6,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",64.63,-17.53
1597,FALSE,FALSE,"Raung","Indonesia",3332,"Stratovolcano",3,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.125,114.042
1673,TRUE,FALSE,"Gamkonora","Indonesia",1635,"Stratovolcano",5,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"Few (~1 to 50)",1.375,127.52
1754,TRUE,TRUE,"Taal","Philippines",400,"Stratovolcano",4,12,"Few (~1 to 50)",NA,"None/No Record",NA,"EXTREME (~>=$25 million)",NA,"Very Many (~1001 or more)",14.002,120.993
1768,FALSE,FALSE,"Cotopaxi","Ecuador",5911,"Stratovolcano",4,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"None/No Record",-0.677,-78.436
1792,TRUE,TRUE,"Unzen","Japan",1500,"Complex volcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.75,130.3
1814,FALSE,FALSE,"Mayon","Philippines",2462,"Stratovolcano",4,1200,"Very Many (~1001 or more)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",13.257,123.685
1815,TRUE,FALSE,"Tambora","Indonesia",2850,"Stratovolcano",7,11000,"Very Many (~1001 or more)",NA,"Very Many (~1001 or more)",NA,"EXTREME (~>=$25 million)",NA,"Very Many (~1001 or more)",-8.25,118
1818,FALSE,FALSE,"Colima","Mexico",3850,"Stratovolcano",4,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",19.514,-103.62
